"","ID_REF","des","ID","gender"
"66","GSM1068523","#GSM1068523 = Value for GSM1068523: Bronchial Epithelial Cells MMA biological 1958U; src: Human Fresh Bronchial Epithelial cells","MMA","male"
"67","GSM1068524","#GSM1068524 = Value for GSM1068524: Bronchial Epithelial Cells MMA biological 1973Q; src: Human Fresh Bronchial Epithelial cells","MMA","female"
"68","GSM1068525","#GSM1068525 = Value for GSM1068525: Bronchial Epithelial Cells MMA biological 2014V; src: Human Fresh Bronchial Epithelial cells","MMA","male"
"69","GSM1068526","#GSM1068526 = Value for GSM1068526: Bronchial Epithelial Cells MMA biological 2128K; src: Human Fresh Bronchial Epithelial cells","MMA","male"
"70","GSM1068527","#GSM1068527 = Value for GSM1068527: Bronchial Epithelial Cells MMA biological 2156P; src: Human Fresh Bronchial Epithelial cells","MMA","female"
"71","GSM1068528","#GSM1068528 = Value for GSM1068528: Bronchial Epithelial Cells SA biological 0658D; src: Human Fresh Bronchial Epithelial cells","SA","female"
"72","GSM1068529","#GSM1068529 = Value for GSM1068529: Bronchial Epithelial Cells SA biological 1566D; src: Human Fresh Bronchial Epithelial cells","SA","male"
"73","GSM1068530","#GSM1068530 = Value for GSM1068530: Bronchial Epithelial Cells SA biological 1568H; src: Human Fresh Bronchial Epithelial cells","SA","male"
"74","GSM1068531","#GSM1068531 = Value for GSM1068531: Bronchial Epithelial Cells SA biological 1578K; src: Human Fresh Bronchial Epithelial cells","SA","female"
"75","GSM1068532","#GSM1068532 = Value for GSM1068532: Bronchial Epithelial Cells SA biological 1623P; src: Human Fresh Bronchial Epithelial cells","SA","female"
"76","GSM1068533","#GSM1068533 = Value for GSM1068533: Bronchial Epithelial Cells SA biological 1628Z; src: Human Fresh Bronchial Epithelial cells","SA","female"
"77","GSM1068534","#GSM1068534 = Value for GSM1068534: Bronchial Epithelial Cells SA biological 1661X; src: Human Fresh Bronchial Epithelial cells","SA","male"
"78","GSM1068535","#GSM1068535 = Value for GSM1068535: Bronchial Epithelial Cells SA biological 1683H; src: Human Fresh Bronchial Epithelial cells","SA","female"
"79","GSM1068536","#GSM1068536 = Value for GSM1068536: Bronchial Epithelial Cells SA biological 1743Z; src: Human Fresh Bronchial Epithelial cells","SA","male"
"80","GSM1068537","#GSM1068537 = Value for GSM1068537: Bronchial Epithelial Cells SA biological 1744B; src: Human Fresh Bronchial Epithelial cells","SA","female"
"81","GSM1068538","#GSM1068538 = Value for GSM1068538: Bronchial Epithelial Cells SA biological 1771E; src: Human Fresh Bronchial Epithelial cells","SA","female"
"82","GSM1068539","#GSM1068539 = Value for GSM1068539: Bronchial Epithelial Cells SA biological 1841Z; src: Human Fresh Bronchial Epithelial cells","SA","female"
"83","GSM1068540","#GSM1068540 = Value for GSM1068540: Bronchial Epithelial Cells SA biological 1870G; src: Human Fresh Bronchial Epithelial cells","SA","female"
"84","GSM1068541","#GSM1068541 = Value for GSM1068541: Bronchial Epithelial Cells SA biological 1918I; src: Human Fresh Bronchial Epithelial cells","SA","male"
"85","GSM1068542","#GSM1068542 = Value for GSM1068542: Bronchial Epithelial Cells SA biological 1921X; src: Human Fresh Bronchial Epithelial cells","SA","female"
"86","GSM1068543","#GSM1068543 = Value for GSM1068543: Bronchial Epithelial Cells SA biological 1929N; src: Human Fresh Bronchial Epithelial cells","SA","female"
"87","GSM1068544","#GSM1068544 = Value for GSM1068544: Bronchial Epithelial Cells SA biological 1941D; src: Human Fresh Bronchial Epithelial cells","SA","female"
"88","GSM1068545","#GSM1068545 = Value for GSM1068545: Bronchial Epithelial Cells SA biological 1964P; src: Human Fresh Bronchial Epithelial cells","SA","female"
"89","GSM1068546","#GSM1068546 = Value for GSM1068546: Bronchial Epithelial Cells SA biological 1969Z; src: Human Fresh Bronchial Epithelial cells","SA","female"
"90","GSM1068547","#GSM1068547 = Value for GSM1068547: Bronchial Epithelial Cells SA biological 1970K; src: Human Fresh Bronchial Epithelial cells","SA","female"
"91","GSM1068548","#GSM1068548 = Value for GSM1068548: Bronchial Epithelial Cells SA biological 1986Z; src: Human Fresh Bronchial Epithelial cells","SA","female"
"92","GSM1068549","#GSM1068549 = Value for GSM1068549: Bronchial Epithelial Cells SA biological 1987B; src: Human Fresh Bronchial Epithelial cells","SA","female"
"93","GSM1068550","#GSM1068550 = Value for GSM1068550: Bronchial Epithelial Cells SA biological 1989F; src: Human Fresh Bronchial Epithelial cells","SA","female"
"94","GSM1068551","#GSM1068551 = Value for GSM1068551: Bronchial Epithelial Cells SA biological 1997E; src: Human Fresh Bronchial Epithelial cells","SA","female"
"95","GSM1068552","#GSM1068552 = Value for GSM1068552: Bronchial Epithelial Cells SA biological 1998G; src: Human Fresh Bronchial Epithelial cells","SA","female"
"96","GSM1068553","#GSM1068553 = Value for GSM1068553: Bronchial Epithelial Cells SA biological 2016Z; src: Human Fresh Bronchial Epithelial cells","SA","male"
"97","GSM1068554","#GSM1068554 = Value for GSM1068554: Bronchial Epithelial Cells SA biological 2030T; src: Human Fresh Bronchial Epithelial cells","SA","male"
"98","GSM1068555","#GSM1068555 = Value for GSM1068555: Bronchial Epithelial Cells SA biological 2040W; src: Human Fresh Bronchial Epithelial cells","SA","female"
"99","GSM1068556","#GSM1068556 = Value for GSM1068556: Bronchial Epithelial Cells SA biological 2047K; src: Human Fresh Bronchial Epithelial cells","SA","female"
"100","GSM1068557","#GSM1068557 = Value for GSM1068557: Bronchial Epithelial Cells SA biological 2102S; src: Human Fresh Bronchial Epithelial cells","SA","female"
"101","GSM1068558","#GSM1068558 = Value for GSM1068558: Bronchial Epithelial Cells SA biological 2111T; src: Human Fresh Bronchial Epithelial cells","SA","male"
"102","GSM1068559","#GSM1068559 = Value for GSM1068559: Bronchial Epithelial Cells SA biological 2118H; src: Human Fresh Bronchial Epithelial cells","SA","male"
"103","GSM1068560","#GSM1068560 = Value for GSM1068560: Bronchial Epithelial Cells SA biological 2136J; src: Human Fresh Bronchial Epithelial cells","SA","female"
"104","GSM1068561","#GSM1068561 = Value for GSM1068561: Bronchial Epithelial Cells SA biological 2147O; src: Human Fresh Bronchial Epithelial cells","SA","female"
"105","GSM1068562","#GSM1068562 = Value for GSM1068562: Bronchial Epithelial Cells SA biological 2166S; src: Human Fresh Bronchial Epithelial cells","SA","female"
"106","GSM1068563","#GSM1068563 = Value for GSM1068563: Bronchial Epithelial Cells SA biological 2177X; src: Human Fresh Bronchial Epithelial cells","SA","female"
"107","GSM1068564","#GSM1068564 = Value for GSM1068564: Bronchial Epithelial Cells SA biological 2184U; src: Human Fresh Bronchial Epithelial cells","SA","male"
"108","GSM1068565","#GSM1068565 = Value for GSM1068565: Bronchial Epithelial Cells SA biological 2254P; src: Human Fresh Bronchial Epithelial cells","SA","female"
